Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
1160000	-15.74	-10.11	338	0.09725714285714286	0.0001	3.9555605332056682
1170000	-15.7	-10.11	341	0.09708571428571429	0.0001	3.8807002822558085
1180000	-15.84	-10.11	344	0.09691428571428572	0.0001	4.415911519527436
1190000	-15.77	-10.11	346	0.09674285714285714	0.0001	3.5377369205156963
1200000	-15.93	-10.11	349	0.09657142857142857	0.0001	3.654375390211741
1210000	-16.05	-10.11	352	0.0964	0.0001	3.4995074192682902
1220000	-15.99	-10.11	355	0.09622857142857143	0.0001	3.462516514460246
1230000	-15.79	-10.11	358	0.09605714285714287	0.0001	3.2196914672851564
1240000	-15.7	-10.11	361	0.0958857142857143	0.0001	3.2487067739168802
1250000	-15.69	-10.11	364	0.09571428571428572	0.0001	3.2858198444048563
1260000	-15.48	-10.11	367	0.09554285714285715	9.99e-05	3.2224836031595867
1270000	-15.46	-10.11	369	0.09537142857142858	9.98e-05	3.2247039159138997
1280000	-15.5	-10.11	372	0.0952	9.970000000000001e-05	3.254383933544159
1290000	-15.46	-10.11	375	0.09502857142857143	9.960000000000001e-05	3.2729302485783895
1300000	-15.28	-10.11	378	0.09485714285714286	9.95e-05	3.3088240226109824
1310000	-15.17	-10.11	381	0.09468571428571429	9.94e-05	3.3363450527191163
1320000	-15.05	-10.11	384	0.09451428571428572	9.93e-05	3.231353731950124
1330000	-14.93	-10.11	387	0.09434285714285714	9.92e-05	3.3027465542157493
1340000	-14.82	-10.11	390	0.09417142857142857	9.910000000000001e-05	3.2928534309069315
1350000	-14.81	-10.11	393	0.094	9.900000000000001e-05	3.2588385502497355
1360000	-14.52	-10.11	396	0.09382857142857143	9.89e-05	3.1748010516166687
1370000	-14.29	-10.11	399	0.09365714285714286	9.88e-05	3.2861471931139628
1380000	-14.08	-10.11	402	0.0934857142857143	9.87e-05	3.2044479648272195
1390000	-13.9	-10.11	405	0.09331428571428572	9.860000000000001e-05	3.2573043664296466
1400000	-13.8	-10.11	408	0.09314285714285715	9.850000000000001e-05	3.303971024354299
1410000	-13.72	-10.11	411	0.09297142857142858	9.84e-05	3.3166080196698506
1420000	-13.7	-10.11	414	0.09280000000000001	9.83e-05	3.2167261679967245
1430000	-13.68	-10.11	417	0.09262857142857144	9.82e-05	3.260977558294932
1440000	-13.52	-10.11	420	0.09245714285714286	9.81e-05	3.3483212987581887
1450000	-13.35	-10.11	423	0.09228571428571429	9.800000000000001e-05	3.300780729452769
1460000	-13.13	-10.11	426	0.09211428571428572	9.790000000000001e-05	3.342898158232371
1470000	-12.89	-10.11	429	0.09194285714285715	9.78e-05	3.2772091070810956
1480000	-12.9	-10.11	432	0.09177142857142857	9.77e-05	3.320194399356842
1490000	-12.9	-10.11	435	0.0916	9.76e-05	3.245347519715627
1500000	-12.76	-10.11	438	0.09142857142857143	9.75e-05	3.33275275627772
1510000	-12.73	-10.11	441	0.09125714285714286	9.740000000000001e-05	3.309642752011617
1520000	-12.59	-10.11	444	0.0910857142857143	9.730000000000001e-05	3.4605775515238446
1530000	-12.43	-10.11	447	0.09091428571428573	9.72e-05	3.388681185245514
1540000	-12.15	-10.11	450	0.09074285714285715	9.71e-05	3.4365111788113913
1550000	-12.07	-10.11	453	0.09057142857142858	9.7e-05	3.3994786858558657
1560000	-11.9	-10.11	456	0.09040000000000001	9.690000000000001e-05	3.9805344263712565
1570000	-11.8	-10.11	459	0.09022857142857144	9.680000000000001e-05	3.4376192251841227
1580000	-11.9	-10.11	462	0.09005714285714286	9.67e-05	3.2984427293141683
1590000	-11.79	-10.11	465	0.08988571428571429	9.66e-05	3.2921443859736126
1600000	-11.75	-10.11	468	0.08971428571428572	9.65e-05	3.4234711209932964
1610000	-11.43	-10.11	471	0.08954285714285715	9.64e-05	3.268563369909922
1620000	-11.34	-10.11	474	0.08937142857142857	9.630000000000001e-05	3.3959872404734295
1630000	-11.35	-10.11	477	0.0892	9.620000000000001e-05	3.3428086320559185
1640000	-11.34	-10.11	480	0.08902857142857143	9.61e-05	3.368112389246623
1650000	-11.3	-10.11	483	0.08885714285714286	9.6e-05	3.352805987993876
1660000	-11.29	-10.11	486	0.08868571428571428	9.59e-05	3.311967972914378
1670000	-11.11	-10.11	489	0.08851428571428571	9.58e-05	3.379758656024933
1680000	-11.09	-10.11	492	0.08834285714285715	9.570000000000001e-05	3.281972428162893
1690000	-11.04	-10.11	495	0.08817142857142858	9.56e-05	3.3103037238121034
1700000	-11.07	-10.11	498	0.08800000000000001	9.55e-05	3.3137957493464154
1710000	-11.13	-10.11	501	0.08782857142857144	9.54e-05	3.303254608313243
