Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
780000	7.38	7.38	438	0.29799999999999993	0.0001	2.9647391041119895
790000	7.6	7.6	444	0.2889999999999999	0.0001	2.970714207490285
800000	7.99	7.99	450	0.2799999999999999	0.0001	2.983861557642619
810000	8.11	8.11	455	0.2709999999999999	0.0001	3.003966192404429
820000	8.46	8.47	461	0.262	0.0001	3.035466508070628
830000	8.71	9.19	467	0.253	0.0001	3.0012580513954163
840000	9.1	9.19	473	0.244	0.0001	3.0191455046335856
850000	9.72	9.85	478	0.235	0.0001	3.0317447066307066
860000	9.52	9.85	484	0.22599999999999998	0.0001	3.0404363870620728
870000	10.07	10.07	490	0.21699999999999997	0.0001	3.038503873348236
880000	10.29	10.37	496	0.20799999999999996	0.0001	3.043824060757955
890000	10.38	10.38	502	0.19899999999999995	0.0001	3.099977970123291
900000	10.5	10.52	507	0.18999999999999995	0.0001	3.1121535460154215
910000	11.19	11.19	513	0.18099999999999994	0.0001	3.646661372979482
920000	12.38	12.38	520	0.17199999999999993	0.0001	3.1079654057820636
930000	12.13	12.38	525	0.16299999999999992	0.0001	3.172365689277649
940000	12.82	12.82	531	0.15400000000000003	0.0001	3.2116522471110027
950000	13.77	13.77	538	0.14500000000000002	0.0001	3.167801479498545
960000	14.48	14.49	544	0.136	0.0001	3.235578652222951
970000	14.98	15.22	550	0.127	0.0001	3.23315558830897
980000	15.25	15.45	556	0.118	0.0001	3.183515147368113
990000	16.01	16.04	563	0.10899999999999999	0.0001	3.2580714583396913
1000000	16.76	16.76	569	0.1	0.0001	3.258001772562663
1010000	17.25	17.25	575	0.09982857142857143	0.0001	3.27853999932607
1020000	17.93	17.93	581	0.09965714285714286	0.0001	3.389151398340861
1030000	18.46	18.76	587	0.09948571428571429	0.0001	3.415601162115733
1040000	19.12	19.12	593	0.09931428571428572	0.0001	3.4045048077901203
1050000	20.03	20.03	599	0.09914285714285714	0.0001	3.4330937306086224
1060000	20.86	20.86	605	0.09897142857142857	0.0001	3.6791614174842833
1070000	21.86	21.86	611	0.0988	0.0001	3.651440652211507
1080000	22.48	22.48	618	0.09862857142857144	0.0001	3.367970363299052
1090000	23.87	23.87	624	0.09845714285714287	0.0001	3.3383588711420695
1100000	24.04	24.58	631	0.0982857142857143	0.0001	3.3312909960746766
1110000	24.84	24.84	637	0.09811428571428572	0.0001	3.3073296030362447
1120000	24.36	24.84	643	0.09794285714285715	0.0001	3.408363604545593
1130000	25.06	25.06	650	0.09777142857142858	0.0001	3.355059766769409
1140000	26.18	26.18	656	0.0976	0.0001	3.385890555381775
1150000	27.12	27.12	663	0.09742857142857143	0.0001	3.316168399651845
1160000	26.98	27.44	669	0.09725714285714286	0.0001	3.339670471350352
1170000	27.26	27.51	675	0.09708571428571429	0.0001	3.3426793376604715
1180000	27.48	27.51	682	0.09691428571428572	0.0001	3.2995064814885455
1190000	27.01	27.51	688	0.09674285714285714	0.0001	3.277660342057546
1200000	27.78	27.87	694	0.09657142857142857	0.0001	3.365729800860087
1210000	28.28	28.37	701	0.0964	0.0001	3.272537446022034
1220000	29.36	29.57	708	0.09622857142857143	0.0001	3.3212077697118123
1230000	28.77	29.57	714	0.09605714285714287	0.0001	3.285365072886149
1240000	28.64	29.57	720	0.0958857142857143	0.0001	3.3816611329714457
1250000	28.42	29.57	727	0.09571428571428572	0.0001	3.3389285763104755
1260000	28.77	29.57	733	0.09554285714285715	9.99e-05	4.006620748837789
1270000	28.72	29.57	740	0.09537142857142858	9.98e-05	3.34523743391037
1280000	28.77	29.57	746	0.0952	9.970000000000001e-05	3.359868888060252
1290000	29.25	29.57	753	0.09502857142857143	9.960000000000001e-05	3.3543172240257264
1300000	29.97	29.99	760	0.09485714285714286	9.95e-05	3.558996065457662
1310000	28.69	29.99	766	0.09468571428571429	9.94e-05	3.7708383560180665
1320000	28.12	29.99	772	0.09451428571428572	9.93e-05	3.333219607671102
1330000	28.08	29.99	779	0.09434285714285714	9.92e-05	3.3363194743792217
1340000	28.74	29.99	786	0.09417142857142857	9.910000000000001e-05	3.300619037946065
1350000	29.53	29.99	793	0.094	9.900000000000001e-05	3.4224029580752053
1360000	28.96	29.99	800	0.09382857142857143	9.89e-05	3.460859994093577
1370000	29.54	29.99	806	0.09365714285714286	9.88e-05	3.3987363934516908
1380000	30.27	30.39	814	0.0934857142857143	9.87e-05	3.4455337047576906
1390000	30.01	30.6	820	0.09331428571428572	9.860000000000001e-05	3.4122263908386232
1400000	29.2	30.6	827	0.09314285714285715	9.850000000000001e-05	3.320622917016347
