Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
530000	1.79	1.96	3050	0.5229999999999999	0.0001	5.195487360159556
540000	1.47	1.96	3110	0.514	0.0001	4.980179186662038
550000	1.32	1.96	3171	0.5049999999999999	0.0001	5.3840358654658
560000	1.4	1.96	3230	0.4959999999999999	0.0001	5.506425845623016
570000	1.62	1.96	3284	0.487	0.0001	5.521145685513814
580000	1.53	1.96	3343	0.478	0.0001	5.622609388828278
590000	1.49	1.96	3400	0.469	0.0001	5.736820777257283
600000	1.49	1.96	3457	0.45999999999999996	0.0001	5.580503217379252
610000	1.41	1.96	3518	0.45099999999999996	0.0001	5.582900091012319
620000	1.35	1.96	3577	0.44199999999999995	0.0001	7.3730085333188375
630000	1.63	1.96	3632	0.43299999999999994	0.0001	5.7205470164616905
640000	1.6	1.96	3691	0.42399999999999993	0.0001	5.399005834261576
650000	1.68	1.96	3743	0.4149999999999999	0.0001	5.485309139887492
660000	1.68	1.96	3800	0.4059999999999999	0.0001	3.968810494740804
670000	1.55	1.96	3857	0.3969999999999999	0.0001	2.819624674320221
680000	1.6	1.96	3914	0.3879999999999999	0.0001	3.1569830775260925
690000	1.62	1.96	3969	0.379	0.0001	3.4729913314183554
700000	1.61	1.96	4028	0.37	0.0001	3.5052908698717755
710000	1.51	1.96	4085	0.361	0.0001	3.3496631820996603
720000	1.72	1.96	4137	0.352	0.0001	3.2719561219215394
730000	1.92	1.97	4192	0.34299999999999997	0.0001	2.995789937178294
740000	1.86	2.04	4246	0.33399999999999996	0.0001	2.9081437389055886
750000	1.87	2.04	4299	0.32499999999999996	0.0001	2.9949005961418154
760000	2.1	2.2	4350	0.31599999999999995	0.0001	2.889351681868235
770000	2.13	2.22	4401	0.30699999999999994	0.0001	3.332888424396515
780000	1.87	2.22	4456	0.29799999999999993	0.0001	3.5156755805015565
790000	1.96	2.22	4509	0.2889999999999999	0.0001	3.2012679894765217
800000	2.04	2.22	4560	0.2799999999999999	0.0001	2.987221932411194
810000	2.31	2.31	4607	0.2709999999999999	0.0001	2.9483498215675352
820000	2.38	2.46	4658	0.262	0.0001	2.9863688309987384
830000	2.45	2.48	4703	0.253	0.0001	2.9410828868548076
840000	2.43	2.59	4753	0.244	0.0001	2.9920259912808738
850000	2.32	2.59	4802	0.235	0.0001	3.2163689295450846
860000	2.57	2.59	4845	0.22599999999999998	0.0001	3.3490341385205586
870000	3.01	3.01	4887	0.21699999999999997	0.0001	3.5354673147201536
880000	3.45	3.45	4927	0.20799999999999996	0.0001	3.0054850141207377
890000	3.59	3.6	4968	0.19899999999999995	0.0001	3.0698397397994994
900000	4.04	4.04	5001	0.18999999999999995	0.0001	3.3603331645329795
910000	4.64	4.65	5032	0.18099999999999994	0.0001	3.1211393316586813
920000	5.43	5.44	5062	0.17199999999999993	0.0001	3.0774624625841778
930000	6.07	6.07	5090	0.16299999999999992	0.0001	3.0761002977689107
940000	6.17	6.17	5120	0.15400000000000003	0.0001	3.0728182435035705
950000	6.93	6.93	5144	0.14500000000000002	0.0001	3.142317839463552
960000	7.23	7.3	5171	0.136	0.0001	3.5019608974456786
970000	7.7	7.7	5197	0.127	0.0001	3.195901862780253
980000	7.76	8.08	5223	0.118	0.0001	3.1627403616905214
990000	8.17	8.17	5245	0.10899999999999999	0.0001	3.129796608289083
1000000	8.42	8.42	5270	0.1	0.0001	3.186806873480479
1010000	8.98	8.98	5291	0.09982857142857143	0.0001	3.1691511273384094
1020000	9.68	9.68	5312	0.09965714285714286	0.0001	3.1521515011787415
1030000	10.2	10.22	5334	0.09948571428571429	0.0001	3.1953715324401855
1040000	10.65	10.65	5354	0.09931428571428572	0.0001	3.205087431271871
1050000	11.35	11.36	5373	0.09914285714285714	0.0001	3.3442256093025207
1060000	11.89	11.89	5392	0.09897142857142857	0.0001	3.3817580064137776
1070000	14.91	14.91	5409	0.0988	0.0001	3.225222647190094
1080000	15.81	15.81	5426	0.09862857142857144	0.0001	3.2413591821988423
1090000	16.53	16.53	5443	0.09845714285714287	0.0001	3.6361999193827312
1100000	17.04	17.04	5461	0.0982857142857143	0.0001	3.88828573624293
1110000	19.44	19.44	5478	0.09811428571428572	0.0001	3.8739564180374146
1120000	22.43	22.54	5494	0.09794285714285715	0.0001	3.860871680577596
1130000	20.62	22.54	5510	0.09777142857142858	0.0001	3.817262609799703
1140000	21.39	22.54	5524	0.0976	0.0001	3.862834095954895
1150000	22.25	22.54	5538	0.09742857142857143	0.0001	3.4523609121640524
1160000	22.38	22.54	5555	0.09725714285714286	0.0001	3.7806154529253644
1170000	20.57	22.67	5570	0.09708571428571429	0.0001	3.260525918006897
1180000	21.48	22.67	5582	0.09691428571428572	0.0001	3.5855067650477093
1190000	19.05	22.67	5598	0.09674285714285714	0.0001	3.267990267276764
1200000	19.88	22.67	5611	0.09657142857142857	0.0001	3.1673137466112773
1210000	20.07	22.67	5625	0.0964	0.0001	3.3104822595914203
1220000	19.85	22.67	5640	0.09622857142857143	0.0001	3.20345717271169
1230000	20.84	22.67	5653	0.09605714285714287	0.0001	3.2104926347732543
1240000	21.33	22.67	5665	0.0958857142857143	0.0001	3.189847107728322
