Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
90.90702605247498	53	9.324074	0.77970433	11.0	8.0	9.324074074074074	0.7797044039095806	1007	54302
92.39678621292114	54	9.373832	0.7172555	11.0	8.0	9.373831775700934	0.7172554711906501	1003	55305
93.94516277313232	55	9.181818	0.75295556	11.0	8.0	9.181818181818182	0.7529556087581329	1010	56315
95.53993606567383	56	9.268518	0.7528523	11.0	8.0	9.268518518518519	0.7528523720501311	1001	57316
97.06406092643738	57	9.533334	0.7440771	11.0	8.0	9.533333333333333	0.7440771422714137	1001	58317
98.57893776893616	58	9.268518	0.727839	11.0	8.0	9.268518518518519	0.7278390323859197	1001	59318
101.99777412414551	59	9.277778	0.73071927	11.0	8.0	9.277777777777779	0.7307192465536613	1002	60320
104.34252166748047	60	9.333333	0.78173596	11.0	8.0	9.333333333333334	0.7817359599705717	1008	61328
106.02108788490295	61	9.429907	0.6851174	11.0	8.0	9.429906542056075	0.6851174881536918	1009	62337
107.92616176605225	62	9.229358	0.69905615	11.0	8.0	9.229357798165138	0.6990560807907795	1006	63343
109.50276446342468	63	9.256881	0.7469039	11.0	8.0	9.256880733944953	0.7469039426439493	1009	64352
111.02266526222229	64	9.19266	0.78374606	11.0	8.0	9.192660550458715	0.7837461700614142	1002	65354
112.62358260154724	65	9.383178	0.6787132	11.0	8.0	9.383177570093459	0.6787131833781423	1004	66358
114.10280776023865	66	9.256881	0.81728643	11.0	8.0	9.256880733944953	0.8172865119750492	1009	67367
115.6346390247345	67	9.471698	0.6325681	11.0	8.0	9.471698113207546	0.632568098650574	1004	68371
117.30689549446106	68	9.277778	0.76779306	11.0	8.0	9.277777777777779	0.7677930533936251	1002	69373
119.45712304115295	69	9.333333	0.827759	11.0	8.0	9.333333333333334	0.8277591347639632	1008	70381
121.07617783546448	70	9.364486	0.8017798	11.0	8.0	9.36448598130841	0.8017798351225127	1002	71383
124.35191488265991	71	9.373832	0.7172555	11.0	8.0	9.373831775700934	0.7172554711906503	1003	72386
125.89795970916748	72	9.383178	0.6787132	10.0	8.0	9.383177570093459	0.6787131833781423	1004	73390
127.57488441467285	73	9.305555	0.7752937	11.0	8.0	9.305555555555555	0.7752936520529369	1005	74395
129.3391466140747	74	9.392524	0.70719934	11.0	8.0	9.392523364485982	0.7071994172857052	1005	75400
130.96639680862427	75	9.314815	0.7893756	11.0	8.0	9.314814814814815	0.7893756105906338	1006	76406
132.82628631591797	76	9.296296	0.8194314	11.0	8.0	9.296296296296296	0.8194313662902808	1004	77410
134.60729598999023	77	9.364486	0.7900375	11.0	8.0	9.36448598130841	0.7900375403890862	1002	78412
136.2674810886383	78	9.411215	0.7482474	11.0	8.0	9.411214953271028	0.7482474355606764	1007	79419
137.92627692222595	79	9.220183	0.7339449	11.0	8.0	9.220183486238533	0.7339449541284403	1005	80424
139.82129216194153	80	9.305555	0.6866226	11.0	8.0	9.305555555555555	0.6866226163504597	1005	81429
141.70066118240356	81	9.490566	0.780001	12.0	8.0	9.49056603773585	0.7800010040979013	1006	82435
143.35536313056946	82	9.324074	0.8801168	11.0	8.0	9.324074074074074	0.8801168241447617	1007	83442
145.0732443332672	83	9.392524	0.7824835	11.0	8.0	9.392523364485982	0.7824835771564291	1005	84447
146.60766506195068	84	9.462264	0.7419318	11.0	8.0	9.462264150943396	0.7419318015483684	1003	85450
148.11927318572998	85	9.342592	0.7348727	10.0	8.0	9.342592592592593	0.73487258957461	1009	86459
149.76909565925598	86	9.314815	0.6891776	11.0	8.0	9.314814814814815	0.6891775579973479	1006	87465
151.35398840904236	87	9.4811325	0.72983754	11.0	8.0	9.481132075471699	0.7298375636732619	1005	88470
152.87447237968445	88	9.364486	0.7023661	11.0	8.0	9.36448598130841	0.7023661393665771	1002	89472
154.3862500190735	89	9.490566	0.79200345	11.0	8.0	9.49056603773585	0.7920034664835983	1006	90478
156.03265762329102	90	9.342592	0.77174693	11.0	8.0	9.342592592592593	0.7717469005209213	1009	91487
157.84125566482544	91	9.333333	0.80507654	11.0	8.0	9.333333333333334	0.8050764858994133	1008	92495
159.36514258384705	92	9.401869	0.7216261	11.0	8.0	9.401869158878505	0.7216260595325592	1006	93501
160.90230202674866	93	9.373832	0.7301692	11.0	8.0	9.373831775700934	0.7301691583037238	1003	94504
162.4899046421051	94	9.35514	0.7266919	11.0	8.0	9.355140186915888	0.7266918570577103	1001	95505
163.97560572624207	95	9.462264	0.72910553	11.0	8.0	9.462264150943396	0.7291055298243908	1003	96508
165.51403617858887	96	9.364486	0.7023661	11.0	8.0	9.36448598130841	0.7023661393665771	1002	97510
167.01892256736755	97	9.429907	0.71187717	11.0	8.0	9.429906542056075	0.7118772015903568	1009	98519
168.6048345565796	98	9.35514	0.76430094	11.0	8.0	9.355140186915888	0.7643008710377897	1001	99520
170.29106783866882	99	9.420561	0.7367189	11.0	8.0	9.42056074766355	0.7367189598136956	1008	100528
